PubMedCode,ISOCode,LanguageName
fre,fr,French
slv,sl,Slovenian
rus,ru,Russian
afr,af,Afrikaans
nor,no,Norwegian
pol,pl,Polish
cat,ca,Catalan
hrv,hr,Croatian
por,pt,Portuguese
ukr,uk,Ukrainian
ice,is,Icelandic
swe,sv,Swedish
slo,sk,Slovak
cze,cs,Czech
eng,en,English
hun,hu,Hungarian
jpn,ja,Japanese
dan,da,Danish
heb,he,Hebrew
tur,tr,Turkish
rum,ro,Romanian
dut,nl,Dutch
ita,it,Italian
spa,es,Spanish
kor,ko,Korean
chi,zh,Chinese
ger,de,German
fin,fi,Finnish
epo,eo,Esperanto
gre,el,Greek
est,et,Estonian
ara,ar,Arabic
alb,sq,Albanian
